PC,explained_variance_ratio,cumulative_variance_ratio,r2_phase,r2_diagnosis
PC1,0.17329990611987722,0.17329990611987722,0.06495833877940095,0.004790451337419697
PC2,0.12501073403960591,0.29831064015948316,0.03771138549847021,0.0021543179042372886
PC3,0.034870428611062924,0.3331810687705461,0.040153904737192665,0.0007501851739013653
PC4,0.03360591982922612,0.3667869885997722,0.045317808641079385,0.0015056450350205914
PC5,0.027619657447405136,0.39440664604717734,0.02611358713342686,0.024795311431051043
PC6,0.026075928180560187,0.42048257422773755,0.039137988838009286,8.118683877762768e-05
PC7,0.020273280161224153,0.4407558543889617,0.013890911665550964,0.002559716956931197
PC8,0.019636726531990088,0.4603925809209518,0.03686685366306316,0.0001575109175574513
PC9,0.017048188366417753,0.47744076928736956,0.02762419962211431,0.0002145146712397943
PC10,0.01569357996592001,0.4931343492532896,0.0702559613440102,0.0014437822536282965
PC11,0.014728330876583491,0.5078626801298731,0.008202768313214249,0.007023251873501541
PC12,0.0143515780996101,0.5222142582294832,0.014228379977701508,0.018492517915866796
PC13,0.012974416045879579,0.5351886742753628,0.0052678048347847605,0.005566745307536653
PC14,0.012551835262826985,0.5477405095381898,0.014883702416393906,0.0006952940857719043
PC15,0.012162053832167978,0.5599025633703577,0.06207248748079642,0.0339030417975554
PC16,0.012077159527105898,0.5719797228974636,0.016710686177572518,0.007300732991779478
PC17,0.011589984443224411,0.583569707340688,3.2282832512273014e-05,0.0040905642131866884
PC18,0.01147394484622774,0.5950436521869158,0.013289345391703091,0.0012091108854229064
PC19,0.010850076046446779,0.6058937282333626,0.01280900657848208,0.0002252951123602565
PC20,0.010639704939693424,0.6165334331730561,0.001229920569440764,1.4554101519222067e-05
PC21,0.010539187182354123,0.6270726203554102,0.011482398973658922,0.007700419865762814
PC22,0.009939047166608544,0.6370116675220188,0.004983018498318133,0.0006692348178833336
PC23,0.009914766175862452,0.6469264336978812,0.007968450312670438,2.679173762027438e-06
PC24,0.009606336766806643,0.6565327704646878,0.04184295488641169,4.848673899994782e-05
PC25,0.009426417891127869,0.6659591883558157,0.003169770096094035,0.0012942568729291763
PC26,0.009206057724766055,0.6751652460805817,0.010319331025804715,0.005116937259514002
PC27,0.009094160076167796,0.6842594061567495,0.02885517485630023,0.0049905865240226464
