variable,cn,mci,test,p_value,p_welch_t,p_mann_whitney,smd,n_cn,n_mci
"Age, years",72.26 +/- 6.40,72.92 +/- 7.65,Welch t-test,0.20967458245668275,0.20967458245668275,0.12431236295146829,0.09271186959431639,326,402
"Female, n (%)",194 (59.5%),151 (37.6%),Chi-square,3.6947371902119697e-09,,,-0.4501122494644753,326,402
"Education, years",16.57 +/- 2.48,15.88 +/- 2.81,Welch t-test,0.00043867032372934666,0.00043867032372934666,0.0010245992997312946,-0.2615410006156652,326,402
APOE e4 alleles,0.35 +/- 0.54,0.57 +/- 0.67,Mann-Whitney U,5.8727188911390605e-06,1.1802238998145962e-06,5.8727188911390605e-06,0.36123381317784764,326,402
"APOE e4 carrier (>=1 allele), n (%)",102 (31.3%),187 (46.5%),Chi-square,2.9643912827951838e-05,,,0.31625318397308,326,402
MMSE,29.14 +/- 1.05,27.51 +/- 1.95,Mann-Whitney U,5.2244274442925e-35,7.789056555729949e-41,5.2244274442925e-35,-1.0407507623068166,326,402
ADNI phase,,,,,,,,326,402
"  ADNI1, n (%)",111 (34.0%),189 (47.0%),Chi-square (3x2),2.441544950124089e-28,,,,326,402
"  ADNIGO, n (%)",0 (0.0%),89 (22.1%),,,,,,326,402
"  ADNI3, n (%)",215 (66.0%),124 (30.8%),,,,,,326,402
